         1031173 function calls (1012260 primitive calls) in 4.191 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.072    0.072 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/highlevelgraph.py:1(<module>)
       16    0.000    0.000    0.072    0.005 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/artist.py:1404(_get_tightbbox_for_layout_only)
        1    0.000    0.000    0.072    0.072 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/sizeof.py:1(<module>)
      315    0.004    0.000    0.071    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.071    0.071 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/widgets/__init__.py:1(<module>)
        1    0.000    0.000    0.070    0.070 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/widgets/widgets.py:1(<module>)
  879/870    0.016    0.000    0.069    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.069    0.069 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/jinja2/__init__.py:1(<module>)
      382    0.068    0.000    0.068    0.000 {method '__exit__' of '_io._IOBase' objects}
      192    0.003    0.000    0.068    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/text.py:734(draw)
      936    0.002    0.000    0.067    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
        8    0.000    0.000    0.067    0.008 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/cm.py:443(to_rgba)
        8    0.026    0.003    0.066    0.008 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/colors.py:701(__call__)
       64    0.001    0.000    0.064    0.001 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/spines.py:142(get_window_extent)
      314    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      314    0.002    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        1    0.000    0.000    0.062    0.062 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/jinja2/environment.py:1(<module>)
        1    0.000    0.000    0.060    0.060 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/fft.py:1(<module>)
       80    0.000    0.000    0.060    0.001 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:1315(<listcomp>)
       68    0.001    0.000    0.060    0.001 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/axis.py:287(draw)
     1458    0.002    0.000    0.059    0.000 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
      467    0.005    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.058    0.058 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/lib/__init__.py:1(<module>)
        1    0.000    0.000    0.057    0.057 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/lib/stride_tricks.py:1(<module>)
        1    0.000    0.000    0.056    0.056 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/overlap.py:1(<module>)
      240    0.001    0.000    0.054    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/ticker.py:2138(__call__)
     1523    0.052    0.000    0.052    0.000 {built-in method numpy.array}
      240    0.001    0.000    0.050    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/ticker.py:2142(tick_values)
        2    0.000    0.000    0.049    0.024 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:1332(searchsorted)
        2    0.049    0.024    0.049    0.024 {method 'searchsorted' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.047    0.047 /home/users/mmingyeong/.local/lib/python3.10/site-packages/fontTools/ttLib/tables/otTables.py:1(<module>)
       72    0.000    0.000    0.046    0.001 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/text.py:73(_get_text_metrics_with_cache_impl)
        1    0.000    0.000    0.046    0.046 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/backends.py:1(<module>)
       93    0.046    0.000    0.046    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      240    0.007    0.000    0.045    0.000 /home/users/mmingyeong/.local/lib/python3.10/site-packages/matplotlib/ticker.py:2077(_raw_ticks)
        1    0.000    0.000    0.045    0.045 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/array/creation.py:1(<module>)
        1    0.000    0.000    0.045    0.045 /home/users/mmingyeong/.local/lib/python3.10/site-packages/fontTools/varLib/__init__.py:1(<module>)
        2    0.000    0.000    0.045    0.022 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/cupy/_statistics/order.py:10(amin)
        2    0.044    0.022    0.044    0.022 {method 'min' of 'cupy._core.core._ndarray_base' objects}
        1    0.000    0.000    0.041    0.041 /home/users/mmingyeong/.conda/envs/new_env/lib/python3.10/site-packages/dask/datasets.py:1(<module>)
