Tue Apr 15 10:31:42 2025    cprofile_batch_density.prof

         816132 function calls (811346 primitive calls) in 2429.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1134    0.002    0.000    0.003    0.000 threading.py:264(__enter__)
      387    0.000    0.000    0.003    0.000 connection.py:365(_send)
      612    0.003    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
      598    0.002    0.000    0.003    0.000 contextlib.py:514(_push_exit_callback)
       14    0.000    0.000    0.003    0.000 queues.py:339(__init__)
      459    0.002    0.000    0.003    0.000 threading.py:236(__init__)
      613    0.002    0.000    0.002    0.000 threading.py:1430(current_thread)
      584    0.002    0.000    0.002    0.000 __init__.py:119(getLevelName)
      373    0.001    0.000    0.002    0.000 queue.py:122(put)
     5361    0.002    0.000    0.002    0.000 {built-in method posix.fspath}
      373    0.001    0.000    0.002    0.000 _base.py:330(__init__)
       14    0.001    0.000    0.002    0.000 format.py:414(_write_array_header)
      387    0.002    0.000    0.002    0.000 {built-in method posix.write}
      568    0.002    0.000    0.002    0.000 {built-in method math.floor}
     1168    0.002    0.000    0.002    0.000 __init__.py:359(getMessage)
     2980    0.002    0.000    0.002    0.000 {built-in method time.time}
     6045    0.002    0.000    0.002    0.000 {built-in method posix.getpid}
     1134    0.002    0.000    0.002    0.000 threading.py:267(__exit__)
      584    0.002    0.000    0.002    0.000 __init__.py:1724(isEnabledFor)
      598    0.002    0.000    0.002    0.000 contextlib.py:442(_create_exit_wrapper)
     1794    0.002    0.000    0.002    0.000 format.py:652(<genexpr>)
     1201    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      584    0.002    0.000    0.002    0.000 threading.py:1129(name)
      612    0.002    0.000    0.002    0.000 {built-in method _struct.calcsize}
     1372    0.001    0.000    0.002    0.000 _weakrefset.py:39(_remove)
     2998    0.002    0.000    0.002    0.000 {built-in method builtins.divmod}
     1345    0.001    0.000    0.002    0.000 __init__.py:219(_acquireLock)
